product,date,price,volume,best_bid,best_ask
BTC-USD,1637121872240,59099.6,0.106827,59098.82,59106.80
BTC-USD,1637121872240,59098.82,0.02029935,59097.62,59106.80
BTC-USD,1637121872240,59097.62,0.01209445,59097.62,59106.80
BTC-USD,1637121872431,59103.38,0.01631151,59101.20,59103.39
BTC-USD,1637121872431,59103.39,0.01631151,59101.20,59106.79
BTC-USD,1637121872431,59106.79,0.00054819,59101.20,59106.79
BTC-USD,1637121872460,59106.63,0.0000675,59101.20,59106.63
BTC-USD,1637121872787,59106.52,0.00202423,59101.20,59106.52
BTC-USD,1637121872803,59106.52,0.00163355,59101.20,59106.52
BTC-USD,1637121873999,59093.47,0.00392915,59087.48,59093.47
BTC-USD,1637121874393,59087.48,0.03182,59087.48,59087.49
BTC-USD,1637121874773,59085.17,0.00011809,59085.16,59085.17
BTC-USD,1637121874798,59085.16,0.040215,59085.16,59085.17
BTC-USD,1637121874798,59085.16,0.036141,59085.16,59085.17
BTC-USD,1637121874798,59085.16,0.04856503,59085.16,59085.17
BTC-USD,1637121874798,59085.16,0.04834113,59085.16,59085.17
BTC-USD,1637121874802,59085.16,0.00309384,59070.83,59085.17
BTC-USD,1637121874895,59077.2,0.00050914,59070.83,59077.20
BTC-USD,1637121874981,59077.2,0.00016839,59070.83,59077.20
BTC-USD,1637121875472,59070.83,0.0017,59069.22,59070.84
BTC-USD,1637121875552,59069.23,0.0839,59069.22,59069.23
BTC-USD,1637121875552,59069.23,0.05938182,59069.22,59069.23
BTC-USD,1637121875552,59069.23,0.04936967,59069.22,59069.23
BTC-USD,1637121875954,59069.23,0.00163374,59069.22,59069.23
BTC-USD,1637121876468,59069.22,0.00006762,59069.22,59069.23
BTC-USD,1637121876766,59069.23,0.01374243,59069.22,59069.23
BTC-USD,1637121876766,59069.23,0.00315643,59069.22,59069.23
BTC-USD,1637121876826,59069.23,0.0011,59069.22,59069.23
BTC-USD,1637121877358,59069.23,0.00004976,59069.22,59069.23
BTC-USD,1637121877870,59069.23,0.05480542,59069.22,59069.23
BTC-USD,1637121877870,59069.23,0.0152787,59069.22,59069.23
BTC-USD,1637121877870,59069.23,0.00021588,59069.22,59069.23
BTC-USD,1637121877920,59069.23,0.00000412,59069.22,59069.24
BTC-USD,1637121877920,59069.24,0.01536588,59069.22,59069.24
BTC-USD,1637121878435,59083.91,0.00322033,59083.90,59083.91
BTC-USD,1637121879420,59089.17,0.00015172,59089.16,59089.17
BTC-USD,1637121879486,59089.17,0.01261652,59089.16,59089.17
BTC-USD,1637121879538,59089.17,0.00022749,59089.16,59089.17
