price, date, volume, best_bid, best_ask
1637121185580, 59440.63,0.00329625,59440.62,59440.63
1637121185787, 59440.63,0.00004365,59440.62,59440.63
1637121185899, 59440.63,0.00030973,59440.62,59440.63
1637121185966, 59439.07,0.00039333,59439.06,59439.07
1637121186048, 59439.06,0.00006002,59439.06,59439.07
1637121186488, 59437.85,0.00673358,59433.57,59437.86
1637121186488, 59433.57,0.25245419,59433.01,59437.86
1637121186488, 59433.01,0.05,59429.91,59437.86
1637121186488, 59429.91,0.16817264,59429.86,59437.86
1637121186488, 59429.86,0.02263959,59429.86,59437.86
1637121186906, 59428.9,0.00120483,59428.89,59428.90
1637121187150, 59428.89,0.000084,59428.89,59428.90
1637121187310, 59428.9,0.00006709,59428.89,59428.90
1637121187365, 59428.9,0.00329653,59428.89,59428.90
1637121187456, 59428.89,0.00328321,59428.72,59428.90
1637121187456, 59428.72,0.071,59425.05,59428.90
1637121187456, 59425.05,0.07782191,59425.05,59428.90
1637121187707, 59425.06,0.00167323,59425.05,59425.06
1637121187712, 59425.06,0.00443939,59425.05,59425.06
1637121187780, 59425.06,0.07778738,59425.05,59425.06
1637121187780, 59425.06,0.106827,59425.05,59425.54
1637121187780, 59425.54,0.26826836,59425.05,59426.73
1637121187780, 59426.73,0.02979457,59425.05,59428.90
1637121187780, 59428.9,0.25251012,59425.05,59429.49
1637121187780, 59429.49,0.07698469,59425.05,59429.49
1637121187886, 59427.39,0.00675833,59425.25,59427.39
1637121187963, 59425.27,0.00050232,59425.26,59425.27
1637121188205, 59428.1,0.00412144,59425.26,59428.10
1637121188351, 59429.48,0.01648576,59426.90,59429.48
1637121188418, 59429.48,0.05686566,59428.21,59429.49
1637121188572, 59428.95,0.00162303,59428.94,59428.95
1637121188694, 59428.95,0.00015075,59428.94,59428.95
1637121188753, 59428.95,0.1,59428.94,59428.95
1637121189041, 59428.94,0.00017183,59428.94,59428.95
1637121189248, 59428.95,0.00095385,59428.94,59428.95
1637121189610, 59428.95,0.0005523,59428.94,59428.95
1637121189630, 59428.95,0.00013895,59428.94,59428.95
1637121189747, 59428.95,0.06595037,59428.94,59428.95
1637121190027, 59428.94,0.02706559,59428.88,59428.95
1637121190027, 59428.88,0.02756638,59428.87,59428.95
1637121190027, 59428.87,0.25212287,59428.82,59428.95
1637121190027, 59428.82,0.25247095,59427.92,59428.95
1637121190027, 59427.92,0.25246989,59425.34,59428.95
1637121190027, 59425.34,0.0603291,59425.33,59428.95
1637121190027, 59425.33,0.033,59425.13,59428.95
1637121190027, 59425.13,0.09497522,59425.13,59428.95
1637121190111, 59428.94,0.003142,59428.94,59428.95
1637121191102, 59428.95,0.005,59428.94,59428.95
1637121191402, 59428.95,0.00412136,59428.94,59428.95
1637121191432, 59428.95,0.00168936,59428.94,59428.95
1637121191819, 59428.95,0.01648576,59428.94,59428.95
1637121191823, 59428.95,0.00041189,59428.94,59428.95
1637121192025, 59428.94,0.080758,59428.94,59428.95
1637121192025, 59428.94,0.0103441,59428.94,59428.95
1637121192025, 59428.94,0.00581178,59425.83,59428.95
1637121192025, 59425.83,0.00586964,59425.10,59428.95
1637121192025, 59425.1,0.03917772,59425.10,59428.95
1637121192332, 59428.94,0.00080327,59425.37,59428.94
1637121192738, 59428.95,0.00083715,59425.18,59428.95
1637121192738, 59428.95,0.00015083,59425.18,59428.95
1637121192766, 59428.95,0.00004752,59425.18,59428.95
1637121192997, 59427.03,0.00576991,59426.11,59427.03
1637121193245, 59426.67,0.00481614,59426.11,59426.67
1637121193494, 59426.84,0.00038449,59426.17,59426.84
1637121193630, 59427.98,0.00418606,59427.71,59427.98
1637121193933, 59428.36,0.00004163,59427.07,59428.36
1637121194127, 59427.07,0.000034,59427.07,59428.95
1637121194169, 59428.93,0.00313912,59427.07,59428.93
1637121194235, 59428.95,0.0032183,59427.07,59428.95
1637121194369, 59426.66,0.01967874,59426.66,59428.95
1637121194536, 59427.4,0.00824357,59426.66,59427.40
1637121194767, 59426.66,0.00532126,59425.10,59428.81
1637121194767, 59425.1,0.16735084,59425.05,59428.81
1637121194767, 59425.05,0.12217809,59425.05,59428.81
1637121194767, 59425.05,0.1,59425.05,59428.81
1637121194767, 59425.05,0.25226884,59421.31,59428.81
1637121194767, 59421.31,0.00142434,59420.61,59428.81
1637121194767, 59420.61,0.16762222,59420.56,59428.81
1637121194767, 59420.56,0.18625983,59420.56,59428.81
1637121195015, 59426.21,0.00058427,59420.56,59426.21
1637121195072, 59420.57,0.00160327,59420.57,59426.21
1637121195568, 59424.59,0.01648576,59420.62,59424.59
1637121195625, 59424.65,0.00835944,59420.62,59424.65
1637121196088, 59424.73,0.0000416,59420.62,59424.73
1637121196458, 59424.66,0.00023024,59420.86,59424.66
1637121197257, 59424.01,0.01170366,59420.91,59424.01
1637121197434, 59420.62,0.00084,59420.62,59423.56
1637121197463, 59423.56,0.00013403,59420.62,59423.56
1637121198217, 59420.63,0.00215109,59420.62,59420.63
1637121198301, 59420.63,0.01649731,59420.62,59420.63
1637121198508, 59420.63,0.00046898,59420.62,59420.63
1637121198573, 59420.63,0.00164454,59420.62,59420.63
1637121198849, 59420.63,0.00039335,59420.62,59420.63
1637121198907, 59420.63,0.00030973,59420.62,59420.63
1637121199764, 59424.73,0.00243504,59420.78,59424.76
1637121199764, 59424.76,0.01405244,59420.78,59424.76
1637121199777, 59426.31,0.00824866,59420.78,59426.31
1637121199819, 59420.82,0.016823,59420.82,59426.31
1637121199905, 59426.31,0.00080384,59421.01,59426.31
1637121199909, 59421.01,0.00002684,59421.01,59426.31
1637121200623, 59420.63,0.00004847,59420.62,59420.63
1637121201629, 59420.63,0.00241502,59420.62,59420.63
1637121202062, 59420.63,0.00082398,59420.62,59420.63
1637121202311, 59420.63,0.03299463,59420.62,59420.63
1637121202632, 59420.62,0.00007272,59420.62,59420.65
1637121202736, 59420.63,0.00123866,59420.62,59420.63
1637121202744, 59420.62,0.000336,59420.62,59420.63
1637121202822, 59420.63,0.00165773,59420.62,59420.63
1637121203028, 59420.63,0.00008383,59420.62,59420.63
1637121204027, 59420.01,0.00080389,59420.00,59420.01
1637121204091, 59420.01,0.00577403,59420.00,59420.01
1637121204154, 59420.01,0.00015095,59420.00,59420.01
1637121204216, 59420,0.04186406,59411.66,59420.01
1637121204216, 59411.66,0.04,59411.65,59420.01
1637121204216, 59411.65,0.16768541,59410.74,59420.01
1637121204237, 59410.96,0.00080388,59410.74,59410.96
1637121204247, 59410.96,0.00081279,59410.74,59410.96
1637121204300, 59410.74,0.005,59410.74,59410.95
1637121204666, 59410.95,0.00080388,59410.00,59410.95
1637121204974, 59410.96,0.03299463,59410.00,59410.96
1637121205197, 59410,0.00837422,59409.58,59410.01
1637121205269, 59409.58,0.01690881,59404.85,59409.59
1637121205290, 59404.86,0.00024295,59404.85,59404.86
1637121205486, 59404.85,0.09027901,59400.00,59404.86
1637121205486, 59400,0.005,59400.00,59404.86
1637121205486, 59400,0.0023,59400.00,59404.86
1637121205486, 59400,0.000839,59400.00,59404.86
1637121205486, 59400,0.001,59397.27,59404.86
1637121205865, 59397.28,0.00016752,59397.27,59397.28
1637121205946, 59397.28,0.00117639,59397.27,59397.28
1637121206109, 59397.28,0.00003366,59397.27,59397.28
1637121206282, 59397.28,0.00116243,59397.27,59397.28
1637121206282, 59397.28,0.00046182,59397.27,59397.28
1637121206460, 59397.28,0.00659505,59397.27,59397.28
1637121207194, 59397.28,0.00241516,59397.27,59397.28
1637121207473, 59397.27,0.0017,59397.27,59397.28
1637121207473, 59397.27,0.000823,59397.27,59397.28
1637121208147, 59397.28,0.00329856,59397.27,59397.28
1637121208583, 59397.27,0.00008871,59397.27,59397.28
1637121208629, 59397.27,0.00015222,59397.27,59397.28
1637121208761, 59397.28,0.00030991,59397.27,59397.28
1637121209087, 59397.28,0.00016752,59397.27,59397.28
1637121209231, 59397.27,0.00169137,59397.27,59397.28
1637121209808, 59397.26,0.00034099,59397.25,59397.26
1637121209988, 59397.25,0.01358886,59397.25,59397.26
1637121210093, 59397.26,0.00080396,59397.25,59397.26
1637121210202, 59397.26,0.00322069,59397.25,59397.26
1637121210380, 59397.25,0.00316318,59392.47,59397.26
1637121210380, 59392.47,0.002,59391.38,59397.26
1637121210380, 59391.38,0.06207459,59391.38,59397.26
